# FROM CRISPRCASDB
# COLLECTED BY @purpurax

"gene","count"
Cmr5_0_III-B_1,30
Cmr5_0_III-B_10,1
Cmr5_0_III-B_11,2
Cmr5_0_III-B_2,119
Cmr5_0_III-B_3,49
Cmr5_0_III-B_4,60
Cmr5_0_III-B_5,114
Cmr5_0_III-B_6,14
Cmr5_0_III-B_7,6
Cmr5_0_III-B_8,9
Cmr5_0_III-B_9,5
Cmr5_0_III-C_1,1
Cmr5_0_III-C_2,34
Cmr5_0_III-C_3,4
Cmr5_0_III-C_4,10
Cmr5_0_III-C_5,22
Cmr5_0_III-C_6,1
Cmr5_0_III-C_7,1
Cmr5_0_III-C_8,3
Cmr5_1_III-B_1,3
Cmr5_1_III-B_12,1
Cmr5_1_III-B_2,29
Cmr5_1_III-B_3,3
Cmr5_1_III-B_4,26
Cmr5_1_III-B_6,9
Cmr5_1_III-B_8,1
Cmr5_1_III-C_1,7
Cmr5_1_III-C_2,3
Cmr5_1_III-C_5,1
Cmr6_0_III-B_1,122
Cmr6_0_III-B_10,3
Cmr6_0_III-B_12,1
Cmr6_0_III-B_13,1
Cmr6_0_III-B_2,12
Cmr6_0_III-B_3,43
Cmr6_0_III-B_4,38
Cmr6_0_III-B_5,46
Cmr6_0_III-B_6,67
Cmr6_0_III-B_7,19
Cmr6_0_III-B_8,5
Cmr6_0_III-B_9,8
Cmr6_0_III-C_1,5
Cmr6_0_III-C_10,1
Cmr6_0_III-C_11,1
Cmr6_0_III-C_2,19
Cmr6_0_III-C_3,6
Cmr6_0_III-C_4,6
Cmr6_0_III-C_5,32
Cmr6_0_III-C_6,2
Cmr6_0_III-C_7,1
Cmr6_0_III-C_8,2
Cmr6_1_III-B_1,62
Cmr6_1_III-B_10,2
Cmr6_1_III-B_2,14
Cmr6_1_III-B_3,19
Cmr6_1_III-B_4,11
Cmr6_1_III-B_5,30
Cmr6_1_III-B_6,38
Cmr6_1_III-B_7,4
Cmr6_1_III-B_9,1
Cmr7_0_III-B_1,10
Cmr7_0_III-B_2,1
Cmr7_0_III-B_6,5
Cmr7_0_III-B_7,7
Csa5_0_I-A_1,28
Csa5_0_I-A_2,2
Csa5_0_I-A_3,3
Csa5_0_I-A_4,2
Csa5_0_I-A_5,19
Csa5_0_I-A_6,6
Csa5_0_I-A_7,14
Csa5_0_I-A_8,5
Csa5_0_I-A_9,4
CsaX_0_I-A_1,3
CsaX_0_I-A_10,12
CsaX_0_I-A_11,1
CsaX_0_I-A_12,1
CsaX_0_I-A_14,3
CsaX_0_I-A_2,12
CsaX_0_I-A_5,1
CsaX_0_I-A_6,8
CsaX_0_I-A_7,1
Csb1_0_I-U_1,71
Csb1_0_I-U_2,35
Csb1_0_I-U_3,94
Csb1_0_I-U_4,44
Csb1_0_I-U_5,72
Csb1_0_I-U_6,2
Csb2_0_I-U_1,25
Csb2_0_I-U_2,123
Csb2_0_I-U_3,53
Csb2_0_I-U_4,111
Csb2_0_I-U_5,4
Csb2_0_I-U_6,3
Csb3_0_I-U_1,1
Csb3_0_I-U_2,12
Csb3_0_I-U_3,4
Csb3_0_I-U_4,3
Csb3_0_I-U_5,8
Csc1_0_I-D_1,28
Csc1_0_I-D_2,39
Csc1_0_I-D_3,21
Csc1_0_I-D_4,61
Csc1_0_I-D_5,21
Csc1_0_I-D_6,2
Csc1_0_I-D_9,1
Csc2_0_I-D_1,19
Csc2_0_I-D_2,62
Csc2_0_I-D_3,79
Csc2_0_I-D_4,2
Csc2_0_I-D_5,3
Csc2_0_I-D_6,21
Csc2_0_I-D_7,2
Csc2_0_I-D_8,1
Cse1_0_I-E_1,64
Cse1_0_I-E_13,1
Cse1_0_I-E_2,3062
Cse1_0_I-E_3,68
Cse1_0_I-E_4,19
Cse1_0_I-E_5,85
Cse1_0_I-E_6,153
Cse1_0_I-E_7,2110
Cse1_0_I-E_8,12
Cse1_0_I-E_9,1
Cse2_0_I-E_1,14
Cse2_0_I-E_12,1
Cse2_0_I-E_2,124
Cse2_0_I-E_3,3055
Cse2_0_I-E_4,149
Cse2_0_I-E_5,195
Cse2_0_I-E_6,2167
Cse2_0_I-E_7,24
Cse2_0_I-E_8,2
Cse2_0_I-E_9,1
Csf1_0_IV_1,1
Csf1_0_IV_2,2
Csf1_0_IV_3,17
Csf1_0_IV_4,5
Csf1_1_IV_1,25
Csf1_1_IV_3,2
Csf1_1_IV_4,22
Csf2_0_IV_2,8
Csf2_0_IV_3,2
Csf2_0_IV_4,9
Csf2_1_IV_1,4
Csf2_1_IV_2,36
Csf2_1_IV_3,29
Csf3_0_IV_1,8
Csf3_0_IV_2,3
Csf3_0_IV_3,2
Csf3_0_IV_4,2
Csf3_0_IV_5,9
Csf3_1_IV_1,29
Csf3_1_IV_2,6
Csf3_1_IV_3,7
Csf3_1_IV_4,20
Csf4_0_IV_1,10
Csf4_0_IV_5,9
Csf4_1_IV_1,2
Csf4_1_IV_2,22
Csf4_1_IV_3,26
Csf4_1_IV_4,4
Csf5_0_IV_1,1
Csf5_0_IV_2,9
Csf5_0_IV_3,1
Csf5_0_IV_4,7
Csm2_0_III-A_1,37
